series,year,emissions (thousand tonnes)
Ammonia,1980,309.790804
Ammonia,1981,308.6901978
Ammonia,1982,316.4638587
Ammonia,1983,317.4042653
Ammonia,1984,320.4868696
Ammonia,1985,317.6323455
Ammonia,1986,316.2083276
Ammonia,1987,319.7194665
Ammonia,1988,313.4753547
Ammonia,1989,309.2873193
Ammonia,1990,307.3108136
Ammonia,1991,310.9835358
Ammonia,1992,297.1026582
Ammonia,1993,293.097448
Ammonia,1994,298.092902
Ammonia,1995,293.0165488
Ammonia,1996,299.0630569
Ammonia,1997,309.0772456
Ammonia,1998,308.4694947
Ammonia,1999,301.5967286
Ammonia,2000,294.9889349
Ammonia,2001,292.7224586
Ammonia,2002,288.2100085
Ammonia,2003,283.3322623
Ammonia,2004,288.6203302
Ammonia,2005,281.3973755
Ammonia,2006,277.7155443
Ammonia,2007,273.8643008
Ammonia,2008,257.2925275
Ammonia,2009,260.3389988
Ammonia,2010,262.1376084
Ammonia,2011,262.1613188
Ammonia,2012,261.055419
Ammonia,2013,257.0573954
Ammonia,2014,268.7120732
Ammonia,2015,271.3541344
Ammonia,2016,273.5724771
Ammonia,2017,276.9211325
Ammonia,2018,272.5244139
Ammonia,2019,272.3083983
Ammonia,2020,263.6684561
Ammonia,2021,269.5218895
Ammonia,2022,261.8785294
Ammonia,2023,264.9572025
Ammonia Agriculture,1980,284.918512
Ammonia Agriculture,1981,283.8685953
Ammonia Agriculture,1982,291.1456025
Ammonia Agriculture,1983,292.2352943
Ammonia Agriculture,1984,295.0628913
Ammonia Agriculture,1985,292.0108638
Ammonia Agriculture,1986,290.2667244
Ammonia Agriculture,1987,293.5051829
Ammonia Agriculture,1988,287.0250704
Ammonia Agriculture,1989,282.6683237
Ammonia Agriculture,1990,279.8892241
Ammonia Agriculture,1991,283.4836111
Ammonia Agriculture,1992,269.0557925
Ammonia Agriculture,1993,264.0215489
Ammonia Agriculture,1994,267.5936557
Ammonia Agriculture,1995,260.9870588
Ammonia Agriculture,1996,263.9796032
Ammonia Agriculture,1997,272.905967
Ammonia Agriculture,1998,267.161856
Ammonia Agriculture,1999,261.8649346
Ammonia Agriculture,2000,249.8108681
Ammonia Agriculture,2001,247.5280794
Ammonia Agriculture,2002,243.0757492
Ammonia Agriculture,2003,239.1642214
Ammonia Agriculture,2004,245.1699806
Ammonia Agriculture,2005,238.0067764
Ammonia Agriculture,2006,235.6489466
Ammonia Agriculture,2007,233.7630309
Ammonia Agriculture,2008,219.325616
Ammonia Agriculture,2009,222.7498377
Ammonia Agriculture,2010,225.0306807
Ammonia Agriculture,2011,225.0238402
Ammonia Agriculture,2012,224.9869194
Ammonia Agriculture,2013,222.3167395
Ammonia Agriculture,2014,235.1818249
Ammonia Agriculture,2015,239.2338322
Ammonia Agriculture,2016,241.2482517
Ammonia Agriculture,2017,243.2720339
Ammonia Agriculture,2018,239.8917097
Ammonia Agriculture,2019,239.9985829
Ammonia Agriculture,2020,229.8195353
Ammonia Agriculture,2021,234.6308002
Ammonia Agriculture,2022,229.0221163
Ammonia Agriculture,2023,230.7128975
Ammonia NECR,1980,309.790804
Ammonia NECR,1981,308.6901978
Ammonia NECR,1982,316.4638587
Ammonia NECR,1983,317.4042653
Ammonia NECR,1984,320.4868696
Ammonia NECR,1985,317.6323455
Ammonia NECR,1986,316.2083276
Ammonia NECR,1987,319.7194665
Ammonia NECR,1988,313.4753547
Ammonia NECR,1989,309.2873193
Ammonia NECR,1990,307.3108136
Ammonia NECR,1991,310.9830714
Ammonia NECR,1992,297.1021939
Ammonia NECR,1993,293.0969837
Ammonia NECR,1994,298.0924377
Ammonia NECR,1995,293.0160845
Ammonia NECR,1996,299.0625926
Ammonia NECR,1997,309.0763636
Ammonia NECR,1998,308.4686127
Ammonia NECR,1999,301.5958466
Ammonia NECR,2000,294.9880528
Ammonia NECR,2001,292.7215965
Ammonia NECR,2002,288.0496092
Ammonia NECR,2003,283.1756472
Ammonia NECR,2004,288.3724815
Ammonia NECR,2005,280.8673013
Ammonia NECR,2006,277.1862666
Ammonia NECR,2007,273.2925171
Ammonia NECR,2008,256.709967
Ammonia NECR,2009,259.5311115
Ammonia NECR,2010,260.2380068
Ammonia NECR,2011,258.7748585
Ammonia NECR,2012,256.7007273
Ammonia NECR,2013,250.5498582
Ammonia NECR,2014,259.7452067
Ammonia NECR,2015,260.0800306
Ammonia NECR,2016,259.5973417
Ammonia NECR,2017,262.1231866
Ammonia NECR,2018,258.0001277
Ammonia NECR,2019,257.1512319
Ammonia NECR,2020,247.9953326
Ammonia NECR,2021,253.6282133
Ammonia NECR,2022,246.0457578
Ammonia NECR,2023,249.1244309
ERC 2020-2029,2020,258.3979172
ERC 2020-2029,2021,258.3979172
ERC 2020-2029,2022,258.3979172
ERC 2020-2029,2023,258.3979172
ERC 2020-2029,2024,258.3979172
ERC 2020-2029,2025,258.3979172
ERC 2020-2029,2026,258.3979172
ERC 2020-2029,2027,258.3979172
ERC 2020-2029,2028,258.3979172
ERC 2020-2029,2029,258.3979172
